gw,home_club,away_club,home_group,away_group,self
17,HUL,LIV,G1,G10,False
17,IPS,BRE,G2,G7,False
17,MUN,NFO,G1,G5,False
17,NEW,MCI,G10,G9,False
17,TOT,BOU,G7,G9,False
18,AVL,LIV,G3,G10,False
18,COV,BRE,G4,G7,False
18,CRY,BOU,G6,G9,False
18,EVE,MCI,G6,G9,False
18,FUL,ARS,G8,G4,False
18,HUL,LEE,G1,G5,False
18,IPS,CHE,G2,G8,False
18,MUN,SUN,G1,G2,False
18,NEW,NFO,G10,G5,False
18,TOT,BHA,G7,G3,False
19,ARS,IPS,G4,G2,False
19,BOU,AVL,G9,G3,False
19,BRE,CRY,G7,G6,False
19,BHA,MUN,G3,G1,False
19,CHE,NEW,G8,G10,False
19,LEE,EVE,G5,G6,False
19,LIV,COV,G10,G4,False
19,MCI,TOT,G9,G7,False
19,NFO,FUL,G5,G8,False
19,SUN,HUL,G2,G1,False
20,ARS,BRE,G4,G7,False
20,BHA,BOU,G3,G9,False
20,CRY,CHE,G6,G8,False
20,EVE,AVL,G6,G3,False
20,FUL,TOT,G8,G7,False
20,IPS,COV,G2,G4,False
20,LEE,MCI,G5,G9,False
20,MUN,NEW,G1,G10,False
20,NFO,HUL,G5,G1,False
20,SUN,LIV,G2,G10,False
21,AVL,MUN,G3,G1,False
21,BOU,IPS,G9,G2,False
21,BRE,BHA,G7,G3,False
21,CHE,SUN,G8,G2,False
21,COV,EVE,G4,G6,False
21,HUL,ARS,G1,G4,False
21,LIV,CRY,G10,G6,False
21,MCI,NFO,G9,G5,False
21,NEW,FUL,G10,G8,False
21,TOT,LEE,G7,G5,False
22,ARS,NEW,G4,G10,False
22,BHA,MCI,G3,G9,False
22,CRY,TOT,G6,G7,False
22,EVE,BRE,G6,G7,False
22,FUL,AVL,G8,G3,False
22,IPS,HUL,G2,G1,False
22,LEE,CHE,G5,G8,False
22,MUN,LIV,G1,G10,False
22,NFO,BOU,G5,G9,False
22,SUN,COV,G2,G4,False
23,AVL,IPS,G3,G2,False
23,BOU,FUL,G9,G8,False
23,BRE,MUN,G7,G1,False
23,CHE,NFO,G8,G5,False
23,COV,LEE,G4,G5,False
23,HUL,CRY,G1,G6,False
23,LIV,EVE,G10,G6,False
23,MCI,ARS,G9,G4,False
23,NEW,BHA,G10,G3,False
23,TOT,SUN,G7,G2,False
24,ARS,LIV,G4,G10,False
24,BHA,HUL,G3,G1,False
24,CRY,COV,G6,G4,False
24,EVE,NEW,G6,G10,False
24,FUL,MCI,G8,G9,False
24,IPS,TOT,G2,G7,False
24,LEE,BOU,G5,G9,False
24,MUN,CHE,G1,G8,False
24,NFO,BRE,G5,G7,False
24,SUN,AVL,G2,G3,False
25,AVL,BOU,G3,G9,False
25,COV,LIV,G4,G10,False
25,CRY,BRE,G6,G7,False
25,EVE,LEE,G6,G5,False
25,FUL,NFO,G8,G5,False
25,HUL,SUN,G1,G2,False
25,IPS,ARS,G2,G4,False
25,MUN,BHA,G1,G3,False
25,NEW,CHE,G10,G8,False
25,TOT,MCI,G7,G9,False
26,ARS,FUL,G4,G8,False
26,BOU,CRY,G9,G6,False
26,BRE,COV,G7,G4,False
26,BHA,TOT,G3,G7,False
26,CHE,IPS,G8,G2,False
26,LEE,AVL,G5,G3,False
26,LIV,HUL,G10,G1,False
26,MCI,NEW,G9,G10,False
26,NFO,MUN,G5,G1,False
26,SUN,EVE,G2,G6,False
27,AVL,CHE,G3,G8,False
27,COV,BOU,G4,G9,False
27,CRY,SUN,G6,G2,False
27,EVE,NFO,G6,G5,False
27,FUL,LEE,G8,G5,False
27,HUL,MCI,G1,G9,False
27,IPS,BHA,G2,G3,False
27,MUN,ARS,G1,G4,False
27,NEW,BRE,G10,G7,False
27,TOT,LIV,G7,G10,False
28,ARS,CRY,G4,G6,False
28,BOU,TOT,G9,G7,False
28,BRE,IPS,G7,G2,False
28,BHA,FUL,G3,G8,False
28,CHE,COV,G8,G4,False
28,LEE,HUL,G5,G1,False
28,LIV,AVL,G10,G3,False
28,MCI,EVE,G9,G6,False
28,NFO,NEW,G5,G10,False
28,SUN,MUN,G2,G1,False
29,AVL,HUL,G3,G1,False
29,BOU,NEW,G9,G10,False
29,CHE,ARS,G8,G4,False
29,COV,MCI,G4,G9,False
29,CRY,FUL,G6,G8,False
29,LEE,BHA,G5,G3,False
29,LIV,IPS,G10,G2,False
29,MUN,EVE,G1,G6,False
29,TOT,NFO,G7,G5,False
29,SUN,BRE,G2,G7,False
30,ARS,SUN,G4,G2,False
30,BRE,BOU,G7,G9,False
30,BHA,COV,G3,G4,False
30,EVE,TOT,G6,G7,False
30,FUL,LIV,G8,G10,False
30,HUL,CHE,G1,G8,False
30,IPS,CRY,G2,G6,False
30,MCI,MUN,G9,G1,False
30,NEW,LEE,G10,G5,False
30,NFO,AVL,G5,G3,False
32,ARS,AVL,G4,G3,False
32,BRE,LEE,G7,G5,False
32,BHA,CHE,G3,G8,False
32,EVE,BOU,G6,G9,False
32,FUL,SUN,G8,G2,False
32,HUL,COV,G1,G4,False
32,IPS,MUN,G2,G1,False
32,MCI,CRY,G9,G6,False
32,NEW,TOT,G10,G7,False
32,NFO,LIV,G5,G10,False
33,AVL,COV,G3,G4,False
33,BOU,ARS,G9,G4,False
33,BRE,FUL,G7,G8,False
33,CHE,MCI,G8,G9,False
33,EVE,BHA,G6,G3,False
33,LEE,LIV,G5,G10,False
33,MUN,CRY,G1,G6,False
33,NEW,IPS,G10,G2,False
33,NFO,SUN,G5,G2,False
33,TOT,HUL,G7,G1,False
34,ARS,TOT,G4,G7,False
34,BHA,NFO,G3,G5,False
34,COV,MUN,G4,G1,False
